# x_m, y_m, w_tr_right_m, w_tr_left_m
-52.918299687957585, 1.1754544029389309, 10.0, 10.0
-52.753808023650436, 0.6321448146406511, 10.0, 10.0
-52.67548908542164, 0.06990913427333681, 10.0, 10.0
-52.67736810678544, -0.4977521077029849, 10.0, 10.0
-52.75229675770485, -1.0604496406945374, 10.0, 10.0
-52.892946207639085, -1.6104137746129028, 10.0, 10.0
-52.85912009161148, -2.177069410989947, 10.0, 10.0
-52.68219481924363, -2.716458198749706, 10.0, 10.0
-52.406035496041284, -3.2124207422666586, 10.0, 10.0
-52.06450414738287, -3.665851171601679, 10.0, 10.0
-51.68000197841907, -4.083464507626189, 10.0, 10.0
-51.26662373014145, -4.472516226828543, 10.0, 10.0
-50.83321631141152, -4.8391234086365955, 10.0, 10.0
-50.385431551803094, -5.188024003972595, 10.0, 10.0
-49.926970146036766, -5.522771604092651, 10.0, 10.0
-49.46031808127526, -5.846003203440887, 10.0, 10.0
-48.987185592632905, -6.159672558900531, 10.0, 10.0
-48.50877372626775, -6.465229268014224, 10.0, 10.0
-48.02593988740611, -6.763749452279069, 10.0, 10.0
-47.53930298226622, -7.0560290083880375, 10.0, 10.0
-47.04931155501817, -7.3426493453964214, 10.0, 10.0
-46.556288661185256, -7.624023193719262, 10.0, 10.0
-46.06046171060196, -7.9004258916776, 10.0, 10.0
-45.56198230508203, -8.172015837433845, 10.0, 10.0
-45.0609391828842, -8.43884650670114, 10.0, 10.0
-44.52271463949931, -8.619282526557248, 10.0, 10.0
-43.964224521851975, -8.720927028885939, 10.0, 10.0
-43.39745609125759, -8.752807468734733, 10.0, 10.0
-42.830537261547676, -8.723723849913615, 10.0, 10.0
-42.268862066808964, -8.641481573810523, 10.0, 10.0
-41.71600905213299, -8.512654711211672, 10.0, 10.0
-41.17441071559573, -8.34261336852274, 10.0, 10.0
-40.645816171741906, -8.135657758375642, 10.0, 10.0
-40.13160532369267, -7.895179027274816, 10.0, 10.0
-39.633004699927305, -7.623811685201071, 10.0, 10.0
-39.081439919560964, -7.489576408828509, 10.0, 10.0
-38.51385601673228, -7.480019756007727, 10.0, 10.0
-37.95394516767927, -7.573521934999071, 10.0, 10.0
-37.413732364322456, -7.747915006686998, 10.0, 10.0
-36.897729863778785, -7.984524887706499, 10.0, 10.0
-36.406480597289665, -8.268983978855449, 10.0, 10.0
-35.93876562766396, -8.590675637981708, 10.0, 10.0
